GENDER,SERVICE_NAME,SERVICE,TYPE,PRICE,OLD PRICE,image_url
WOMEN,HAIR SPA,Dandruff Control,,1200,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjV6ZP8ptn_0_dHqZLPFn2JxHr2C75KuBIu_fHtEsqwWL-P4rZRHofPUk&s=10
WOMEN,HAIR SPA,Matrix Spa,,1000 - 1500,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjV6ZP8ptn_0_dHqZLPFn2JxHr2C75KuBIu_fHtEsqwWL-P4rZRHofPUk&s=10
WOMEN,HAIR SPA,Streax Spa,,700 - 1500,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjV6ZP8ptn_0_dHqZLPFn2JxHr2C75KuBIu_fHtEsqwWL-P4rZRHofPUk&s=10
,,,,,,
WOMEN,HAIR STRAIGHTENING,Wash & Blow Dry,,500 - 800,,
WOMEN,HAIR STRAIGHTENING,Hair Ironing,,500 - 1500,,
WOMEN,HAIR STRAIGHTENING,Hair Curling,,1200,,
WOMEN,HAIR STRAIGHTENING,Hair Do Styling,,1000,,
WOMEN,HAIR STRAIGHTENING,Perming,,3000 - 9000,,
WOMEN,HAIR STRAIGHTENING,Straightening,,4000 - 10000,,
WOMEN,MAKEUP,Makeup,,1500,,
WOMEN,MAKEUP,Saree Dropping,,500,,
WOMEN,MAKEUP,Party Makeup,,3000,,
WOMEN,MAKEUP,Bridal Makeup,,5000 - 8000,,
WOMEN,MAKEUP,Bridal 2 Days Makeup,,15000 - 20000,,
WOMEN,MAKEUP,Saree Box Folding,,500,,
WOMEN,BODY MASSAGE,Foot Massage,,400,,
WOMEN,BODY MASSAGE,Arms Massage,,300,,
WOMEN,BODY MASSAGE,Back & Neck Massage,,500,,
WOMEN,BODY MASSAGE,Body Scrub,,1500,,
WOMEN,BODY MASSAGE,Body Massage,,2000,,
WOMEN,BODY MASSAGE,Body Facial,,5000,,
WOMEN,OTHER,Warts and Pimple Remove,,50 - 200,,
WOMEN,OTHER,Ear Punching,,100,,
,,,,,,
WOMEN,BLEACH,Upper Lip / Lower Lip,Oxy,120,,
WOMEN,BLEACH,Upper Lip / Lower Lip,Fruit,100,,
WOMEN,BLEACH,Upper Lip / Lower Lip,Gold,150,,
WOMEN,BLEACH,Face Bleach,Oxy,350,,
WOMEN,BLEACH,Face Bleach,Fruit,300,,
WOMEN,BLEACH,Face Bleach,Gold,400,,
WOMEN,BLEACH,Back Neck,Oxy,400,,
WOMEN,BLEACH,Back Neck,Fruit,350,,
WOMEN,BLEACH,Back Neck,Gold,450,,
WOMEN,BLEACH,Under Arms Bleach,Oxy,250,,
WOMEN,BLEACH,Under Arms Bleach,Fruit,300,,
WOMEN,BLEACH,Under Arms Bleach,Gold,350,,
WOMEN,BLEACH,Full Arms Bleach,Oxy,500,,
WOMEN,BLEACH,Full Arms Bleach,Fruit,400,,
WOMEN,BLEACH,Full Arms Bleach,Gold,600,,
WOMEN,BLEACH,Half Arms Bleach,Oxy,350,,
WOMEN,BLEACH,Half Arms Bleach,Fruit,300,,
WOMEN,BLEACH,Half Arms Bleach,Gold,400,,
WOMEN,BLEACH,Full Legs Bleach,Oxy,600,,
WOMEN,BLEACH,Full Legs Bleach,Fruit,500,,
WOMEN,BLEACH,Full Legs Bleach,Gold,700,,
WOMEN,BLEACH,Half Legs Bleach,Oxy,400,,
WOMEN,BLEACH,Half Legs Bleach,Fruit,300,,
WOMEN,BLEACH,Half Legs Bleach,Gold,500,,
WOMEN,BLEACH,Blouse Line,Oxy,350,,
WOMEN,BLEACH,Blouse Line,Fruit,300,,
WOMEN,BLEACH,Blouse Line,Gold,400,,
WOMEN,BLEACH,Full Body,Oxy,3000,,
WOMEN,BLEACH,Full Body,Fruit,2500,,
WOMEN,BLEACH,Full Body,Gold,3500,,
WOMEN,DETAN,Face & Neck,,400,,
WOMEN,DETAN,Raaga Deten,,400,,
WOMEN,DETAN,Lacto Bleach,,350,,
WOMEN,DETAN,Detan & Pack,,1000,,
WOMEN,CLEANUP,Fruit Cleanup,,350,,
WOMEN,CLEANUP,Papaya Cleanup,,400,,
WOMEN,CLEANUP,Skin Glow,,500,,
WOMEN,CLEANUP,Gold Cleanup,,600,,
WOMEN,CLEANUP,Diamond,,800,,
WOMEN,CLEANUP,Pila Mask,,1000,,
,,,,,,
WOMEN,THREADING,Eyebrows,,40,,
WOMEN,THREADING,Upper Lip,,20,,
WOMEN,THREADING,Forehead,,20,,
WOMEN,THREADING,Chin,,30,,
WOMEN,THREADING,Side Face,,60,,
WOMEN,THREADING,Full Face Threading,,150,,
WOMEN,WAXING,Upper Lip Wax,Honey Wax,50,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5IW5s1fmfNCWVZqRjv2aYlQyx_kBs5JXBDOrkxLJRoxuWfEeJ468LCHU&s=10
WOMEN,WAXING,Upper Lip Wax,Rice Wax,100,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5IW5s1fmfNCWVZqRjv2aYlQyx_kBs5JXBDOrkxLJRoxuWfEeJ468LCHU&s=10
WOMEN,WAXING,Chin Wax,Honey Wax,60,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5IW5s1fmfNCWVZqRjv2aYlQyx_kBs5JXBDOrkxLJRoxuWfEeJ468LCHU&s=10
WOMEN,WAXING,Chin Wax,Rice Wax,120,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5IW5s1fmfNCWVZqRjv2aYlQyx_kBs5JXBDOrkxLJRoxuWfEeJ468LCHU&s=10
WOMEN,WAXING,Cheeks Wax,Honey Wax,50,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5IW5s1fmfNCWVZqRjv2aYlQyx_kBs5JXBDOrkxLJRoxuWfEeJ468LCHU&s=10
WOMEN,WAXING,Cheeks Wax,Rice Wax,100,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5IW5s1fmfNCWVZqRjv2aYlQyx_kBs5JXBDOrkxLJRoxuWfEeJ468LCHU&s=10
WOMEN,WAXING,Full Face Wax,Honey Wax,250,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5IW5s1fmfNCWVZqRjv2aYlQyx_kBs5JXBDOrkxLJRoxuWfEeJ468LCHU&s=10
WOMEN,WAXING,Full Face Wax,Rice Wax,350,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5IW5s1fmfNCWVZqRjv2aYlQyx_kBs5JXBDOrkxLJRoxuWfEeJ468LCHU&s=10
